MD1 	 MD2	 DMP 	 DM3 	 Br(h-->e-nu) 	 Br(h-->mu-nu) 	 Br(h-->tau-nu) 	 Br(h-->W-h1) 	 Br(W-->e-nu) 	Br(W-->mu-nu) 	 Br(W-->tau-nu)
1.456321e+01 	1.655231e+02 	8.554993e+01 	6.540991e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.103451e+02 	1.902614e+02 	5.945929e+01 	2.045704e+01 	1.112433e-01 	1.112418e-01 	1.107634e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.664136e+01 	9.914851e+01 	1.043760e+01 	4.206955e+01 	1.165224e-01 	1.164619e-01 	1.012245e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.138562e+01 	1.264777e+02 	3.915986e+01 	7.593225e+01 	1.115166e-01 	1.115121e-01 	1.102587e-01 	0.000000e+00 	1.106127e-01 	1.106124e-01 	1.105316e-01 
4.444335e+01 	1.263398e+02 	6.993784e+01 	1.195859e+01 	1.111925e-01 	1.111915e-01 	1.108552e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.357643e+02 	2.052918e+02 	2.305713e+01 	4.647036e+01 	1.122145e-01 	1.122022e-01 	1.089606e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.854157e+01 	9.189270e+01 	4.059922e+01 	2.275191e+01 	1.114609e-01 	1.114570e-01 	1.103621e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.288527e+01 	1.275941e+02 	4.037197e+01 	2.433685e+01 	1.114540e-01 	1.114502e-01 	1.103731e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
7.771168e+02 	9.097990e+02 	5.032525e+01 	8.235690e+01 	1.113096e-01 	1.113074e-01 	1.106300e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.185529e+01 	6.320132e+01 	2.903008e+01 	1.231595e+01 	1.118258e-01 	1.118178e-01 	1.096884e-01 	0.000000e+00 	1.109504e-01 	1.109501e-01 	1.108690e-01 
