MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
5.193532e+02 	6.307360e+02 	7.791553e+01 	3.346730e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.997728e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.967646e+01 	1.148652e+02 	5.911729e+01 	1.607149e+01 	3.442058e-02 	3.441998e-02 	3.423207e-02 	6.804187e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.359284e+01 	8.530905e+01 	4.557493e+01 	1.614128e+01 	3.433776e-02 	3.433703e-02 	3.409837e-02 	6.787818e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.222398e+02 	4.683492e+02 	2.436485e+01 	2.174450e+01 	3.296649e-02 	3.296535e-02 	3.261244e-02 	6.516745e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.581056e+02 	5.613746e+02 	8.398761e+01 	1.928137e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999678e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.222484e+01 	1.935610e+02 	9.131433e+01 	6.002184e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.976731e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.224912e+01 	6.280997e+01 	2.452922e+01 	2.603163e+01 	2.847177e-02 	2.847100e-02 	2.822007e-02 	5.628239e-02 	0.000000e+00 	3.421119e-02 	3.421092e-02 	3.413418e-02 	6.762796e-02 
4.603709e+01 	8.523340e+01 	2.670630e+01 	1.249001e+01 	3.453484e-02 	3.453334e-02 	3.406842e-02 	6.826774e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
7.298677e+02 	8.205258e+02 	5.919259e+01 	3.146551e+01 	3.420490e-02 	3.420331e-02 	3.407182e-02 	6.761553e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
1.659474e+01 	1.476689e+02 	3.322376e+01 	9.785043e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	5.107902e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
