MD1	DMP	DM3	CrossSection_fb	~h2->e1,E1,~h1	~h2->e2,E2,~h1	~h2->e3,E3,~h1	~h-->N1,e1,~h1	~h-->N2,e2,~h1	~h-->N3,e3,~h1	~h+->n1,E1,~h1	~h+->n2,E2,~h1	~h+->n3,E3,~h1
80	70	10	6.633800e+01	1.157900e-04	1.157300e-04	1.151700e-04	NaN	NaN	NaN	NaN	NaN	NaN
80	80	10	5.786500e+01	3.330700e-04	3.333300e-04	3.318900e-04	NaN	NaN	NaN	NaN	NaN	NaN
80	90	10	5.065400e+01	2.746700e-03	2.738100e-03	2.738200e-03	NaN	NaN	NaN	NaN	NaN	NaN
90	10	10	1.674700e+02	9.973600e-08	9.984400e-08	9.537800e-08	NaN	NaN	NaN	NaN	NaN	NaN
90	100	10	4.455200e+01	7.966500e-03	7.954700e-03	7.947300e-03	NaN	NaN	NaN	NaN	NaN	NaN
90	110	10	3.935800e+01	1.528100e-02	1.528500e-02	1.530800e-02	NaN	NaN	NaN	NaN	NaN	NaN
90	120	10	3.484000e+01	2.461200e-02	2.458300e-02	2.449100e-02	NaN	NaN	NaN	NaN	NaN	NaN
90	20	10	1.416900e+02	7.038500e-07	7.035000e-07	6.886100e-07	NaN	NaN	NaN	NaN	NaN	NaN
90	30	10	1.200700e+02	2.832400e-06	2.833900e-06	2.796400e-06	NaN	NaN	NaN	NaN	NaN	NaN
90	40	10	1.029200e+02	8.524800e-06	8.516300e-06	8.451500e-06	NaN	NaN	NaN	NaN	NaN	NaN
90	50	10	8.836700e+01	2.170000e-05	2.170300e-05	2.155300e-05	NaN	NaN	NaN	NaN	NaN	NaN
90	60	10	7.642000e+01	5.051500e-05	5.042700e-05	5.017300e-05	NaN	NaN	NaN	NaN	NaN	NaN
90	70	10	6.629300e+01	1.157500e-04	1.157500e-04	1.151100e-04	NaN	NaN	NaN	NaN	NaN	NaN
90	80	10	5.776500e+01	3.330200e-04	3.331600e-04	3.318600e-04	NaN	NaN	NaN	NaN	NaN	NaN
90	90	10	5.058500e+01	2.745200e-03	2.744500e-03	2.739500e-03	NaN	NaN	NaN	NaN	NaN	NaN
1	10	10	1.670700e+02	9.993200e-08	9.978900e-08	9.537400e-08	NaN	NaN	NaN	NaN	NaN	NaN
1	100	10	4.457900e+01	7.959200e-03	7.961200e-03	7.930600e-03	NaN	NaN	NaN	NaN	NaN	NaN
1	110	10	3.931400e+01	1.531200e-02	1.526200e-02	1.523600e-02	NaN	NaN	NaN	NaN	NaN	NaN
1	120	10	3.484000e+01	2.456500e-02	2.467300e-02	2.465800e-02	NaN	NaN	NaN	NaN	NaN	NaN
1	20	10	1.413900e+02	7.037400e-07	7.037200e-07	6.887200e-07	NaN	NaN	NaN	NaN	NaN	NaN
1	30	10	1.201700e+02	2.833500e-06	2.835700e-06	2.798300e-06	NaN	NaN	NaN	NaN	NaN	NaN
1	40	10	1.026900e+02	8.523400e-06	8.518900e-06	8.447300e-06	NaN	NaN	NaN	NaN	NaN	NaN
1	50	10	8.840800e+01	2.171100e-05	2.170100e-05	2.153300e-05	NaN	NaN	NaN	NaN	NaN	NaN
1	60	10	7.627500e+01	5.048500e-05	5.051000e-05	5.018600e-05	NaN	NaN	NaN	NaN	NaN	NaN
1	70	10	6.635200e+01	1.157200e-04	1.157300e-04	1.152500e-04	NaN	NaN	NaN	NaN	NaN	NaN
1	80	10	5.791400e+01	3.330100e-04	3.331600e-04	3.318500e-04	NaN	NaN	NaN	NaN	NaN	NaN
1	90	10	5.057200e+01	2.741700e-03	2.747300e-03	2.740100e-03	NaN	NaN	NaN	NaN	NaN	NaN
0	10	10	1.635000e+02	NaN	NaN	NaN	1.371000e-08	1.369800e-08	1.175500e-08	1.370600e-08	1.369300e-08	1.175800e-08
0	100	10	2.180000e+01	NaN	NaN	NaN	2.471700e-02	2.474000e-02	2.469100e-02	2.465800e-02	2.476100e-02	2.465700e-02
0	110	10	1.866500e+01	NaN	NaN	NaN	4.706100e-02	4.691000e-02	4.670500e-02	4.695500e-02	4.684800e-02	4.704100e-02
0	120	10	1.607700e+01	NaN	NaN	NaN	7.493100e-02	7.507700e-02	7.483500e-02	7.526200e-02	7.494300e-02	7.521900e-02
