MD1	DMP	DM3	CrossSection_fb	Br(h2->e+e-h1)_total	Br(h2->mu+mu-h1)_total	Br(h2->tau+tau-h1)_total	Br(h-->e-nu)_total	Br(h-->mu-nu)_total	Br(h-->tau-nu)_total	Br(h+->e+nu)_total	Br(h+->mu+nu)_total	Br(h+->tau+nu)_total
10	80	1	30.714	0.03446589	0.03446536	0.03429296	0.1111529	0.1111437	0.1108881	0.1111529	0.1111437	0.1108881
20	120	1	16.057	0.03440776	0.03440748	0.0343303	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
20	20	1	121.08	0.03654813	0.03654334	0.03509528	0.1126254	0.1126086	0.1082196	0.1126254	0.1126086	0.1082196
20	40	1	71.278	0.03494058	0.03493923	0.03451392	0.1114807	0.1114767	0.1103255	0.1114807	0.1114767	0.1103255
20	60	1	45.484	0.03459996	0.0345992	0.03435612	0.1112544	0.1112528	0.110741	0.1112544	0.1112528	0.110741
20	80	1	30.753	0.03445853	0.034458	0.03428763	0.1111437	0.1111357	0.1109128	0.1111437	0.1111357	0.1109128
30	120	1	16.087	0.034407756559224005	0.034407476559252	0.03433029656697	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
30	20	1	120.98	0.0365393	0.03653443	0.03506907	0.1126074	0.1125908	0.1082489	0.1126074	0.1125908	0.1082489
30	40	1	71.345	0.03493259	0.03493122	0.03449873	0.1114713	0.1114673	0.1103428	0.1114713	0.1114673	0.1103428
30	60	1	45.467	0.03459445	0.03459366	0.03434835	0.1112492	0.1112476	0.1107525	0.1112492	0.1112476	0.1107525
30	80	1	30.7	0.03445499	0.03445445	0.03428477	0.11114	0.1111325	0.1109247	0.11114	0.1111325	0.1109247
40	120	1	16.064	0.034407756559224005	0.034407476559252	0.03433029656697	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
40	20	1	120.81	0.03653477	0.03652986	0.0350563	0.1125991	0.1125826	0.1082618	0.1125991	0.1125826	0.1082618
40	40	1	71.522	0.03492813	0.03492671	0.03449015	0.1114664	0.1114624	0.1103514	0.1114664	0.1114624	0.1103514
40	60	1	45.486	0.03459114	0.03459036	0.03434354	0.1112463	0.1112447	0.1107587	0.1112463	0.1112447	0.1107587
40	80	1	30.74	0.03445276	0.03445222	0.03428284	0.111138	0.1111307	0.1109314	0.111138	0.1111307	0.1109314
50	120	1	16.088	0.034407756559224005	0.034407476559252	0.03433029656697	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
50	20	1	120.83	0.03653192	0.03652696	0.03504891	0.1125945	0.112578	0.1082685	0.1125945	0.112578	0.1082685
50	40	1	71.328	0.03492514	0.03492373	0.03448466	0.1114634	0.1114595	0.1103563	0.1114634	0.1114595	0.1103563
50	60	1	45.498	0.03458883	0.03458804	0.0343402	0.1112444	0.1112429	0.1107625	0.1112444	0.1112429	0.1107625
50	80	1	30.762	0.03445114	0.03445059	0.03428136	0.1111366	0.1111296	0.1109355	0.1111366	0.1111296	0.1109355
60	120	1	16.071	0.034407756559224005	0.034407476559252	0.03433029656697	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
60	20	1	121.24	0.03652985	0.03652492	0.03504414	0.1125917	0.1125752	0.1082724	0.1125917	0.1125752	0.1082724
60	40	1	71.436	0.03492295	0.03492153	0.03448082	0.1114614	0.1114576	0.1103594	0.1114614	0.1114576	0.1103594
60	60	1	45.526	0.03458707	0.03458628	0.03433773	0.1112431	0.1112416	0.1107649	0.1112431	0.1112416	0.1107649
60	80	1	30.749	0.03444984	0.03444929	0.03428015	0.1111357	0.1111287	0.1109381	0.1111357	0.1111287	0.1109381
70	120	1	16.058	0.034407756559224005	0.034407476559252	0.03433029656697	0.11114318888568	0.11114278888572	0.11106158889384	0.11114318888568	0.11114278888572	0.11106158889384
70	20	1	120.79	0.03652829	0.03652334	0.0350408	0.1125898	0.1125733	0.1082749	0.1125898	0.1125733	0.1082749
70	40	1	71.231	0.03492123	0.0349198	0.03447797	0.1114601	0.1114562	0.1103613	0.1114601	0.1114562	0.1103613
70	60	1	45.513	0.03458566	0.03458485	0.03433579	0.1112422	0.1112407	0.1107665	0.1112422	0.1112407	0.1107665
70	80	1	30.767	0.03444874	0.0344482	0.03427911	0.1111349	0.1111281	0.1109399	0.1111349	0.1111281	0.1109399
80	120	1	16.061	0.03440776	0.03440748	0.0343303	0.1111432	0.1111428	0.1110616	0.1111432	0.1111428	0.1110616
80	20	1	120.77	0.03652704	0.0365221	0.03503834	0.1125884	0.112572	0.1082765	0.1125884	0.112572	0.1082765
80	40	1	71.287	0.03491982	0.0349184	0.03447574	0.1114591	0.1114552	0.1103627	0.1114591	0.1114552	0.1103627
80	60	1	45.413	0.03458446	0.03458366	0.03433421	0.1112414	0.1112399	0.1107677	0.1112414	0.1112399	0.1107677
80	80	1	30.765	0.03444779	0.03444726	0.03427818	0.1111343	0.1111275	0.1109412	0.1111343	0.1111275	0.1109412
