MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e-nu) 	 Br(h+->mu-nu) 	 Br(h+->tau-nu) 	 Br(h+->W+h1) 	 Br(W+->e-nu) 	Br(W+->mu-nu) 	 Br(W+->tau-nu)
3.000000e+01 	1.510000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	1.600000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
3.000000e+01 	2.500000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	4.600000e+01 	5.000000e+00 	1.000000e+00 	1.338707e-01 	1.335723e-01 	7.313323e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	5.500000e+01 	5.000000e+00 	1.000000e+01 	1.338707e-01 	1.335723e-01 	7.313323e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.450000e+02 	5.000000e+00 	1.000000e+02 	1.338707e-01 	1.335723e-01 	7.313323e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	6.100000e+01 	2.000000e+01 	1.000000e+00 	1.125991e-01 	1.125826e-01 	1.082618e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	7.000000e+01 	2.000000e+01 	1.000000e+01 	1.125991e-01 	1.125826e-01 	1.082618e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.600000e+02 	2.000000e+01 	1.000000e+02 	1.125991e-01 	1.125826e-01 	1.082618e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	8.100000e+01 	4.000000e+01 	1.000000e+00 	1.114664e-01 	1.114624e-01 	1.103514e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	9.000000e+01 	4.000000e+01 	1.000000e+01 	1.114664e-01 	1.114624e-01 	1.103514e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.800000e+02 	4.000000e+01 	1.000000e+02 	1.114664e-01 	1.114624e-01 	1.103514e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.010000e+02 	6.000000e+01 	1.000000e+00 	1.112463e-01 	1.112447e-01 	1.107587e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.100000e+02 	6.000000e+01 	1.000000e+01 	1.112463e-01 	1.112447e-01 	1.107587e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	2.000000e+02 	6.000000e+01 	1.000000e+02 	1.112463e-01 	1.112447e-01 	1.107587e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.210000e+02 	8.000000e+01 	1.000000e+00 	1.111380e-01 	1.111307e-01 	1.109314e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.300000e+02 	8.000000e+01 	1.000000e+01 	1.111380e-01 	1.111307e-01 	1.109314e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	2.200000e+02 	8.000000e+01 	1.000000e+02 	1.111380e-01 	1.111307e-01 	1.109314e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.610000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	1.700000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
4.000000e+01 	2.600000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	5.600000e+01 	5.000000e+00 	1.000000e+00 	1.338661e-01 	1.335679e-01 	7.313728e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	6.500000e+01 	5.000000e+00 	1.000000e+01 	1.338661e-01 	1.335679e-01 	7.313728e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.550000e+02 	5.000000e+00 	1.000000e+02 	1.338661e-01 	1.335679e-01 	7.313728e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	7.100000e+01 	2.000000e+01 	1.000000e+00 	1.125945e-01 	1.125780e-01 	1.082685e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	8.000000e+01 	2.000000e+01 	1.000000e+01 	1.125945e-01 	1.125780e-01 	1.082685e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.700000e+02 	2.000000e+01 	1.000000e+02 	1.125945e-01 	1.125780e-01 	1.082685e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	9.100000e+01 	4.000000e+01 	1.000000e+00 	1.114634e-01 	1.114595e-01 	1.103563e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.000000e+02 	4.000000e+01 	1.000000e+01 	1.114634e-01 	1.114595e-01 	1.103563e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.900000e+02 	4.000000e+01 	1.000000e+02 	1.114634e-01 	1.114595e-01 	1.103563e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.110000e+02 	6.000000e+01 	1.000000e+00 	1.112444e-01 	1.112429e-01 	1.107625e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.200000e+02 	6.000000e+01 	1.000000e+01 	1.112444e-01 	1.112429e-01 	1.107625e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	2.100000e+02 	6.000000e+01 	1.000000e+02 	1.112444e-01 	1.112429e-01 	1.107625e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.310000e+02 	8.000000e+01 	1.000000e+00 	1.111366e-01 	1.111296e-01 	1.109355e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.400000e+02 	8.000000e+01 	1.000000e+01 	1.111366e-01 	1.111296e-01 	1.109355e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	2.300000e+02 	8.000000e+01 	1.000000e+02 	1.111366e-01 	1.111296e-01 	1.109355e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.710000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	1.800000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.000000e+01 	2.700000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	6.600000e+01 	5.000000e+00 	1.000000e+00 	1.338634e-01 	1.335652e-01 	7.313946e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	7.500000e+01 	5.000000e+00 	1.000000e+01 	1.338634e-01 	1.335652e-01 	7.313946e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.650000e+02 	5.000000e+00 	1.000000e+02 	1.338634e-01 	1.335652e-01 	7.313946e-02 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	8.100000e+01 	2.000000e+01 	1.000000e+00 	1.125917e-01 	1.125752e-01 	1.082724e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	9.000000e+01 	2.000000e+01 	1.000000e+01 	1.125917e-01 	1.125752e-01 	1.082724e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.800000e+02 	2.000000e+01 	1.000000e+02 	1.125917e-01 	1.125752e-01 	1.082724e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
6.000000e+01 	1.010000e+02 	4.000000e+01 	1.000000e+00 	1.114614e-01 	1.114576e-01 	1.103594e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
