MD1 	 MD2	 DMP 	 DM2 	 Br(h+->e+nu) 	 Br(h+->mu+nu) 	 Br(h+->tau+nu) 	 Br(h+->W-h1) 	 Br(W-->e+nu) 	Br(W-->mu+nu) 	 Br(W-->tau+nu)
7.523798e+01 	1.326528e+02 	1.378619e+01 	4.362863e+01 	1.142251e-01 	1.141907e-01 	1.053038e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.916059e+02 	2.549812e+02 	5.273290e+01 	1.064245e+01 	1.112907e-01 	1.112887e-01 	1.106727e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
9.412400e+01 	1.725833e+02 	3.099304e+01 	4.746629e+01 	1.117110e-01 	1.117043e-01 	1.098937e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.033743e+01 	3.837585e+01 	1.307346e+01 	1.496496e+01 	1.146878e-01 	1.146482e-01 	1.045037e-01 	0.000000e+00 	1.082367e-01 	1.082363e-01 	1.081573e-01 
9.693043e+01 	1.757576e+02 	5.221815e+01 	2.660904e+01 	1.112979e-01 	1.112958e-01 	1.106623e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
8.553873e+01 	1.227042e+02 	2.690798e+01 	1.025751e+01 	1.119171e-01 	1.119080e-01 	1.095126e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.454079e+02 	2.532542e+02 	6.444142e+01 	4.340487e+01 	1.112139e-01 	1.112127e-01 	1.108166e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.657370e+01 	1.071349e+02 	7.786835e+01 	1.269286e+01 	1.111788e-01 	1.111703e-01 	1.108930e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
1.114340e+02 	2.431817e+02 	4.115701e+01 	9.059069e+01 	1.114358e-01 	1.114323e-01 	1.104045e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.550899e+02 	2.799239e+02 	1.403084e+01 	1.080316e+01 	1.141112e-01 	1.140780e-01 	1.055011e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
5.923077e+02 	7.053122e+02 	4.001119e+01 	7.299324e+01 	1.114518e-01 	1.114480e-01 	1.103658e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
2.414608e+01 	1.019544e+02 	1.784632e+01 	5.996205e+01 	1.129986e-01 	1.129777e-01 	1.075361e-01 	0.000000e+00 	1.106200e-01 	1.106197e-01 	1.105389e-01 
3.460219e+02 	4.882955e+02 	7.196706e+01 	7.030652e+01 	1.111757e-01 	1.111748e-01 	1.108804e-01 	0.000000e+00 	1.111432e-01 	1.111428e-01 	1.110616e-01 
