MD1 	 MD2	 DMP 	 DM3 	 Br(h2->e+e-h1) 	 Br(h2->mu+mu-h1) 	 Br(h2->tau+tau-h1) 	 Br(h2->n+n-h1) 	 Br(h2->Zh1) 	 Br(Z->e+e-) 	 Br(Z->mu+mu-) 	 Br(Z->tau+tau-) 	 Br(Z->n+n-)
2.000000e+01 	1.800000e+02 	6.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	6.682293e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	1.010000e+02 	8.000000e+01 	1.000000e+00 	3.445853e-02 	3.445800e-02 	3.428763e-02 	6.811690e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	1.100000e+02 	8.000000e+01 	1.000000e+01 	3.439696e-02 	3.439317e-02 	3.422950e-02 	6.799515e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	2.000000e+02 	8.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.469305e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	1.410000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	1.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	1.500000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999991e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
2.000000e+01 	2.400000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.430657e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	3.600000e+01 	5.000000e+00 	1.000000e+00 	4.390556e-02 	4.383570e-02 	2.205373e-02 	8.679157e-02 	0.000000e+00 	3.393771e-02 	3.393744e-02 	3.386131e-02 	6.708734e-02 
3.000000e+01 	4.500000e+01 	5.000000e+00 	1.000000e+01 	2.711651e-02 	2.710956e-02 	2.500250e-02 	5.360333e-02 	0.000000e+00 	3.410912e-02 	3.410885e-02 	3.403233e-02 	6.742618e-02 
3.000000e+01 	1.350000e+02 	5.000000e+00 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	2.058790e-01 	3.431342e-02 	3.431315e-02 	3.423617e-02 	6.783004e-02 
3.000000e+01 	5.100000e+01 	2.000000e+01 	1.000000e+00 	3.653930e-02 	3.653443e-02 	3.506907e-02 	7.223009e-02 	0.000000e+00 	3.430359e-02 	3.430331e-02 	3.422636e-02 	6.781060e-02 
3.000000e+01 	6.000000e+01 	2.000000e+01 	1.000000e+01 	3.482323e-02 	3.482085e-02 	3.409711e-02 	6.883782e-02 	0.000000e+00 	3.440365e-02 	3.440338e-02 	3.432621e-02 	6.800841e-02 
3.000000e+01 	1.500000e+02 	2.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.069520e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	7.100000e+01 	4.000000e+01 	1.000000e+00 	3.493259e-02 	3.493122e-02 	3.449873e-02 	6.905403e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	8.000000e+01 	4.000000e+01 	1.000000e+01 	3.467290e-02 	3.467189e-02 	3.435155e-02 	6.854066e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.700000e+02 	4.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	5.814030e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	9.100000e+01 	6.000000e+01 	1.000000e+00 	3.459445e-02 	3.459366e-02 	3.434835e-02 	6.838556e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.000000e+02 	6.000000e+01 	1.000000e+01 	3.451039e-02 	3.450974e-02 	3.430372e-02 	6.821943e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.900000e+02 	6.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	6.918797e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.110000e+02 	8.000000e+01 	1.000000e+00 	3.445499e-02 	3.445445e-02 	3.428477e-02 	6.810990e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.200000e+02 	8.000000e+01 	1.000000e+01 	3.439301e-02 	3.438974e-02 	3.423422e-02 	6.798734e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	2.100000e+02 	8.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.657806e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.510000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	1.600000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999991e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
3.000000e+01 	2.500000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.546479e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	4.600000e+01 	5.000000e+00 	1.000000e+00 	4.390565e-02 	4.383573e-02 	2.205094e-02 	8.679177e-02 	0.000000e+00 	3.436359e-02 	3.436331e-02 	3.428623e-02 	6.792921e-02 
4.000000e+01 	5.500000e+01 	5.000000e+00 	1.000000e+01 	2.746112e-02 	2.745404e-02 	2.531340e-02 	5.428457e-02 	0.000000e+00 	3.440626e-02 	3.440599e-02 	3.432881e-02 	6.801357e-02 
4.000000e+01 	1.450000e+02 	5.000000e+00 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	2.150107e-01 	3.440626e-02 	3.440599e-02 	3.432881e-02 	6.801357e-02 
4.000000e+01 	6.100000e+01 	2.000000e+01 	1.000000e+00 	3.653477e-02 	3.652986e-02 	3.505630e-02 	7.222116e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	7.000000e+01 	2.000000e+01 	1.000000e+01 	3.488564e-02 	3.488323e-02 	3.415203e-02 	6.896119e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.600000e+02 	2.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.254445e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	8.100000e+01 	4.000000e+01 	1.000000e+00 	3.492813e-02 	3.492671e-02 	3.449015e-02 	6.904518e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	9.000000e+01 	4.000000e+01 	1.000000e+01 	3.467762e-02 	3.467659e-02 	3.435342e-02 	6.854995e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.800000e+02 	4.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	6.018954e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.010000e+02 	6.000000e+01 	1.000000e+00 	3.459114e-02 	3.459036e-02 	3.434354e-02 	6.837901e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.100000e+02 	6.000000e+01 	1.000000e+01 	3.450935e-02 	3.450870e-02 	3.430202e-02 	6.821736e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	2.000000e+02 	6.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.098398e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.210000e+02 	8.000000e+01 	1.000000e+00 	3.445276e-02 	3.445222e-02 	3.428284e-02 	6.810548e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.300000e+02 	8.000000e+01 	1.000000e+01 	3.439056e-02 	3.438757e-02 	3.423676e-02 	6.798253e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	2.200000e+02 	8.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.804650e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.610000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	1.700000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999994e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
4.000000e+01 	2.600000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.640150e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	5.600000e+01 	5.000000e+00 	1.000000e+00 	4.390570e-02 	4.383573e-02 	2.204957e-02 	8.679186e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	6.500000e+01 	5.000000e+00 	1.000000e+01 	2.768021e-02 	2.767306e-02 	2.551171e-02 	5.471765e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.550000e+02 	5.000000e+00 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	2.212041e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	7.100000e+01 	2.000000e+01 	1.000000e+00 	3.653192e-02 	3.652696e-02 	3.504891e-02 	7.221550e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	8.000000e+01 	2.000000e+01 	1.000000e+01 	3.492485e-02 	3.492242e-02 	3.418681e-02 	6.903870e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.700000e+02 	2.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	4.389995e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	9.100000e+01 	4.000000e+01 	1.000000e+00 	3.492514e-02 	3.492373e-02 	3.448466e-02 	6.903928e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.000000e+02 	4.000000e+01 	1.000000e+01 	3.468050e-02 	3.467946e-02 	3.435447e-02 	6.855569e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.900000e+02 	4.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	6.175806e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.110000e+02 	6.000000e+01 	1.000000e+00 	3.458883e-02 	3.458804e-02 	3.434020e-02 	6.837446e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.200000e+02 	6.000000e+01 	1.000000e+01 	3.450852e-02 	3.450785e-02 	3.430069e-02 	6.821570e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	2.100000e+02 	6.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.239444e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.310000e+02 	8.000000e+01 	1.000000e+00 	3.445114e-02 	3.445059e-02 	3.428136e-02 	6.810227e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.400000e+02 	8.000000e+01 	1.000000e+01 	3.438404e-02 	3.438124e-02 	3.423344e-02 	6.796964e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	2.300000e+02 	8.000000e+01 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	7.922214e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.710000e+02 	1.200000e+02 	1.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999999e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	1.800000e+02 	1.200000e+02 	1.000000e+01 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	9.999993e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
5.000000e+01 	2.700000e+02 	1.200000e+02 	1.000000e+02 	0.000000e+00 	0.000000e+00 	0.000000e+00 	0.000000e+00 	8.717387e-01 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
6.000000e+01 	6.600000e+01 	5.000000e+00 	1.000000e+00 	4.390572e-02 	4.383574e-02 	2.204879e-02 	8.679189e-02 	0.000000e+00 	3.440776e-02 	3.440748e-02 	3.433030e-02 	6.801653e-02 
